Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-03-20 04:00:00+00:00,19870.75,19873.5,19870.5,19873.0,36
2025-03-20 04:15:00+00:00,19878.5,19883.75,19871.0,19871.75,145
2025-03-20 04:30:00+00:00,19863.0,19883.0,19861.0,19878.5,229
2025-03-20 04:45:00+00:00,19872.25,19873.5,19864.0,19864.0,119
2025-03-20 05:00:00+00:00,19868.25,19873.5,19862.75,19872.5,175
2025-03-20 05:15:00+00:00,19866.5,19869.0,19860.0,19867.0,173
2025-03-20 05:30:00+00:00,19865.5,19868.5,19864.0,19866.5,166
2025-03-20 05:45:00+00:00,19879.5,19881.25,19865.0,19867.25,234
2025-03-20 06:00:00+00:00,19864.25,19880.5,19861.75,19877.75,320
2025-03-20 06:15:00+00:00,19851.0,19867.0,19849.5,19863.75,242
2025-03-20 06:30:00+00:00,19859.0,19859.0,19836.75,19853.25,346
2025-03-20 06:45:00+00:00,19842.0,19860.5,19841.75,19858.25,189
2025-03-20 07:00:00+00:00,19859.5,19868.25,19833.75,19842.5,543
2025-03-20 07:15:00+00:00,19854.75,19860.75,19838.0,19859.5,361
2025-03-20 07:30:00+00:00,19841.75,19855.25,19839.5,19854.0,245
2025-03-20 07:45:00+00:00,19833.75,19844.25,19830.0,19842.75,459
2025-03-20 08:00:00+00:00,19855.75,19857.25,19834.75,19835.5,651
2025-03-20 08:15:00+00:00,19861.25,19865.75,19847.25,19856.25,381
2025-03-20 08:30:00+00:00,19849.0,19866.5,19849.0,19863.25,428
2025-03-20 08:45:00+00:00,19846.5,19861.75,19842.0,19852.0,800
2025-03-20 09:00:00+00:00,19822.0,19850.5,19821.75,19846.75,812
2025-03-20 09:15:00+00:00,19793.75,19829.75,19787.25,19823.0,950
2025-03-20 09:30:00+00:00,19770.0,19794.75,19769.5,19792.75,1191
2025-03-20 09:45:00+00:00,19746.75,19771.5,19728.75,19768.5,1435
2025-03-20 10:00:00+00:00,19659.75,19747.0,19644.5,19747.0,2256
2025-03-20 10:15:00+00:00,19587.25,19659.25,19530.25,19655.0,3783
2025-03-20 10:30:00+00:00,19566.0,19605.0,19551.75,19585.75,813
2025-03-20 10:45:00+00:00,19611.5,19621.0,19556.0,19562.5,627
2025-03-20 11:00:00+00:00,19629.0,19631.75,19599.75,19616.25,426
2025-03-20 11:15:00+00:00,19616.25,19655.25,19610.5,19629.0,411
2025-03-20 11:30:00+00:00,19640.75,19646.25,19592.25,19612.5,598
2025-03-20 11:45:00+00:00,19641.0,19655.0,19638.0,19644.0,406
2025-03-20 12:00:00+00:00,19641.25,19655.25,19632.0,19654.0,438
2025-03-20 12:15:00+00:00,19631.0,19641.75,19619.0,19641.25,204
2025-03-20 12:30:00+00:00,19638.75,19658.5,19623.75,19625.75,478
2025-03-20 12:45:00+00:00,19626.5,19650.0,19620.5,19649.25,468
2025-03-20 13:00:00+00:00,19614.25,19623.0,19587.0,19623.0,899
2025-03-20 13:15:00+00:00,19581.25,19620.75,19579.0,19614.75,1229
2025-03-20 13:30:00+00:00,19679.0,19704.25,19554.25,19583.75,4255
2025-03-20 13:45:00+00:00,19729.5,19733.5,19678.75,19680.0,3788
2025-03-20 14:00:00+00:00,19793.75,19819.0,19723.25,19728.5,3505
2025-03-20 14:15:00+00:00,19848.5,19879.5,19770.0,19796.25,3732
2025-03-20 14:30:00+00:00,19882.25,19893.75,19818.0,19848.0,4486
2025-03-20 14:45:00+00:00,19838.0,19898.75,19828.5,19890.75,2842
2025-03-20 15:00:00+00:00,19846.5,19857.75,19805.5,19840.5,4486
2025-03-20 15:15:00+00:00,19828.0,19849.5,19810.5,19847.0,2066
2025-03-20 15:30:00+00:00,19824.0,19834.0,19757.0,19827.5,3220
2025-03-20 15:45:00+00:00,19784.0,19852.25,19777.5,19822.0,2312
2025-03-20 16:00:00+00:00,19768.0,19835.0,19740.25,19779.25,3136
2025-03-20 16:15:00+00:00,19679.25,19772.75,19667.75,19771.75,3715
2025-03-20 16:30:00+00:00,19676.0,19720.0,19661.25,19679.25,3091
2025-03-20 16:45:00+00:00,19674.5,19711.25,19659.25,19674.5,2533
2025-03-20 17:00:00+00:00,19724.0,19742.5,19670.75,19675.0,2378
2025-03-20 17:15:00+00:00,19634.25,19727.75,19631.75,19724.0,2326
2025-03-20 17:30:00+00:00,19681.5,19684.75,19627.25,19634.5,2042
2025-03-20 17:45:00+00:00,19650.25,19705.25,19635.75,19682.75,2303
2025-03-20 18:00:00+00:00,19678.5,19699.0,19647.5,19650.75,1694
2025-03-20 18:15:00+00:00,19609.0,19689.25,19606.0,19676.75,1940
2025-03-20 18:30:00+00:00,19611.5,19643.0,19597.75,19608.75,2409
2025-03-20 18:45:00+00:00,19618.25,19682.25,19608.25,19611.5,2222
2025-03-20 19:00:00+00:00,19652.0,19666.75,19615.0,19620.5,2404
2025-03-20 19:15:00+00:00,19634.25,19697.5,19628.75,19653.0,2698
2025-03-20 19:30:00+00:00,19688.5,19689.75,19633.25,19633.25,2156
2025-03-20 19:45:00+00:00,19681.0,19720.0,19666.0,19688.5,4762
2025-03-20 20:00:00+00:00,19702.5,19710.75,19678.0,19682.0,1843
2025-03-20 20:15:00+00:00,19707.75,19712.25,19694.5,19702.0,178
2025-03-20 20:30:00+00:00,19694.0,19705.0,19693.25,19704.25,157
